Classe,Instancia,Minimo_Caixas,Tempo_Segundos
1_u120,Falkenauer_u120_00,48,5.0674
1_u120,Falkenauer_u120_01,49,1.1708
1_u120,Falkenauer_u120_02,46,2.2233
1_u120,Falkenauer_u120_03,49,13.9793
1_u120,Falkenauer_u120_04,50,0.5312
1_u120,Falkenauer_u120_05,48,22.5626
1_u120,Falkenauer_u120_06,48,2.5018
1_u120,Falkenauer_u120_07,49,18.5415
1_u120,Falkenauer_u120_08,50,27.0934
1_u120,Falkenauer_u120_09,46,108.5554
1_t60,Falkenauer_t60_00,20,15.2482
1_t60,Falkenauer_t60_01,20,14.4115
1_t60,Falkenauer_t60_02,20,21.1657
1_t60,Falkenauer_t60_03,20,141.867
1_t60,Falkenauer_t60_04,20,238.0214
1_t60,Falkenauer_t60_05,20,31.5965
1_t60,Falkenauer_t60_06,20,36.537
1_t60,Falkenauer_t60_07,20,150.6641
1_t60,Falkenauer_t60_08,21,300.0119
1_t60,Falkenauer_t60_09,20,125.889
2_n1c1w1,N1C1W1_A,25,0.0501
2_n1c1w1,N1C1W1_B,31,0.1727
2_n1c1w1,N1C1W1_C,20,0.5091
2_n1c1w1,N1C1W1_D,28,0.0926
2_n1c1w1,N1C1W1_E,26,0.1324
2_n1c1w1,N1C1W1_F,27,0.0998
2_n1c1w1,N1C1W1_G,25,0.0744
2_n1c1w1,N1C1W1_H,31,0.1451
2_n1c1w1,N1C1W1_I,25,0.1421
2_n1c1w1,N1C1W1_J,26,0.0747
2_n1c2w1,N1W1B1R0,18,145.2371
2_n1c2w1,N1W1B1R1,18,6.0848
2_n1c2w1,N1W1B1R2,19,300.0126
2_n1c2w1,N1W1B1R3,18,75.1298
2_n1c2w1,N1W1B1R4,17,0.0485
2_n1c2w1,N1W1B1R5,17,0.0243
2_n1c2w1,N1W1B1R6,17,2.4735
2_n1c2w1,N1W1B1R7,17,0.0228
2_n1c2w1,N1W1B1R8,18,199.0312
2_n1c2w1,N1W1B1R9,17,0.0157
2_hard,HARD0,56,300.0384
2_hard,HARD1,57,300.0659
2_hard,HARD2,58,300.0564
2_hard,HARD3,57,300.0244
2_hard,HARD4,57,300.0305
2_hard,HARD5,57,300.0718
2_hard,HARD6,57,300.0735
2_hard,HARD7,55,300.0418
2_hard,HARD8,57,300.0786
2_hard,HARD9,56,90.3375
3_wascher,Waescher_TEST0005,29,300.023
3_wascher,Waescher_TEST0014,24,300.0106
3_wascher,Waescher_TEST0022,15,300.0119
3_wascher,Waescher_TEST0030,28,300.0219
3_wascher,Waescher_TEST0044,14,137.3318
3_wascher,Waescher_TEST0049,11,0.8691
3_wascher,Waescher_TEST0054,15,300.0293
3_wascher,Waescher_TEST0055A,16,300.0182
3_wascher,Waescher_TEST0055B,20,5.6463
3_wascher,Waescher_TEST0058,21,300.0156
4_schwerin_1,Schwerin1_BPP1,18,0.1617
4_schwerin_1,Schwerin1_BPP10,18,2.4456
4_schwerin_1,Schwerin1_BPP100,18,0.1322
4_schwerin_1,Schwerin1_BPP11,18,92.6341
4_schwerin_1,Schwerin1_BPP12,18,3.538
4_schwerin_1,Schwerin1_BPP13,18,4.9582
4_schwerin_1,Schwerin1_BPP14,19,300.023
4_schwerin_1,Schwerin1_BPP15,18,0.0558
4_schwerin_1,Schwerin1_BPP16,18,0.4693
4_schwerin_1,Schwerin1_BPP17,18,245.7774
4_schwerin_2,Schwerin2_BPP1,22,0.8857
4_schwerin_2,Schwerin2_BPP10,21,47.4401
4_schwerin_2,Schwerin2_BPP100,22,300.0308
4_schwerin_2,Schwerin2_BPP11,22,2.7745
4_schwerin_2,Schwerin2_BPP12,22,7.4279
4_schwerin_2,Schwerin2_BPP13,22,0.1693
4_schwerin_2,Schwerin2_BPP14,22,300.0278
4_schwerin_2,Schwerin2_BPP15,22,300.0261
4_schwerin_2,Schwerin2_BPP16,22,0.2204
4_schwerin_2,Schwerin2_BPP17,22,300.0243
5_hard28,Hard28_BPP119,77,300.0292
5_hard28,Hard28_BPP13,68,300.0264
5_hard28,Hard28_BPP14,62,300.017
5_hard28,Hard28_BPP144,74,300.0266
5_hard28,Hard28_BPP175,84,300.0528
5_hard28,Hard28_BPP178,81,300.0289'
5_hard28,Hard28_BPP181,73,300.0174
5_hard28,Hard28_BPP195,65,300.0253
5_hard28,Hard28_BPP359,76,300.0271
5_hard28,Hard28_BPP360,62,169.7364
