Instancia,Minimo_Caixas,Tempo_Segundos
Falkenauer_u120_00,48,6.3509
Falkenauer_u120_01,49,2.0435
Falkenauer_u120_02,46,3.3234
Falkenauer_u120_03,49,19.8139
Falkenauer_u120_04,50,0.859
Falkenauer_u120_05,48,30.404
Falkenauer_u120_06,48,3.592
Falkenauer_u120_07,49,28.9852
Falkenauer_u120_08,50,35.8166
Falkenauer_u120_09,46,185.1382
Falkenauer_u120_10,52,3.9859
Falkenauer_u120_11,49,41.1062
Falkenauer_u120_12,48,33.8446
Falkenauer_u120_13,49,2.1527
Falkenauer_u120_14,50,16.5914
Falkenauer_u120_15,48,8.3107
Falkenauer_u120_16,52,10.0961
Falkenauer_u120_17,52,31.5428
Falkenauer_u120_18,49,45.7511
Falkenauer_u120_19,49,34.6912
